country,date,forest area,life expectancy at birth
Angola,2020-01-01,666073.8,
Angola,2019-01-01,671624.4,61.147
Angola,2018-01-01,677175.1,60.782
Angola,2017-01-01,682725.7,60.379
Angola,2016-01-01,688276.2,59.925
Angola,2015-01-01,693826.9,59.398
Angola,2014-01-01,699377.52,58.776
Angola,2013-01-01,704928.14,58.054
Angola,2012-01-01,710478.76,57.236
Angola,2011-01-01,716029.38,56.33
Angola,2010-01-01,721580.0,55.35
Angola,2009-01-01,727130.61,54.311
Angola,2008-01-01,732681.22,53.243
Angola,2007-01-01,738231.83,52.177
Angola,2006-01-01,743782.44,51.143
Angola,2005-01-01,749333.05,50.165
Angola,2004-01-01,754883.66,49.263
Angola,2003-01-01,760434.27,48.44
Angola,2002-01-01,765984.88,47.702
Angola,2001-01-01,771535.49,47.059
Angola,2000-01-01,777086.1,46.522
Angola,1999-01-01,778640.27,46.093
Angola,1998-01-01,780194.44,45.763
Angola,1997-01-01,781748.61,45.519
Angola,1996-01-01,783302.78,45.35
Angola,1995-01-01,784856.95,45.246
Angola,1994-01-01,786411.12,45.201
Angola,1993-01-01,787965.29,45.201
Angola,1992-01-01,789519.46,45.23
Angola,1991-01-01,791073.63,45.271
Angola,1990-01-01,792627.8,45.306
Angola,1989-01-01,,45.324
Angola,1988-01-01,,45.317
Angola,1987-01-01,,45.283
Angola,1986-01-01,,45.213
Angola,1985-01-01,,45.107
Angola,1984-01-01,,44.966
Angola,1983-01-01,,44.799
Angola,1982-01-01,,44.611
Angola,1981-01-01,,44.404
Angola,1980-01-01,,44.178
Angola,1979-01-01,,43.931
Angola,1978-01-01,,43.66
Angola,1977-01-01,,43.367
Angola,1976-01-01,,43.053
Angola,1975-01-01,,42.721
Angola,1974-01-01,,42.374
Angola,1973-01-01,,42.016
Angola,1972-01-01,,41.65
Angola,1971-01-01,,41.282
Angola,1970-01-01,,40.914
Angola,1969-01-01,,40.546
Angola,1968-01-01,,40.178
Angola,1967-01-01,,39.813
Angola,1966-01-01,,39.454
Angola,1965-01-01,,39.102
Angola,1964-01-01,,38.76
Angola,1963-01-01,,38.43
Angola,1962-01-01,,38.113
Angola,1961-01-01,,37.811
Angola,1960-01-01,,37.524
Albania,2020-01-01,7889.0,
Albania,2019-01-01,7889.0,78.573
Albania,2018-01-01,7889.0,78.458
Albania,2017-01-01,7889.025,78.333
Albania,2016-01-01,7891.8,78.194
Albania,2015-01-01,7891.875,78.025
Albania,2014-01-01,7877.64,77.813
Albania,2013-01-01,7863.405,77.554
Albania,2012-01-01,7849.17,77.252
Albania,2011-01-01,7834.935,76.914
Albania,2010-01-01,7820.7,76.562
Albania,2009-01-01,7807.93,76.221
Albania,2008-01-01,7795.16,75.912
Albania,2007-01-01,7782.39,75.646
Albania,2006-01-01,7769.62,75.423
Albania,2005-01-01,7756.85,75.228
Albania,2004-01-01,7744.08,75.039
Albania,2003-01-01,7731.31,74.828
Albania,2002-01-01,7718.54,74.579
Albania,2001-01-01,7705.77,74.288
Albania,2000-01-01,7693.0,73.955
Albania,1999-01-01,7712.5,73.587
Albania,1998-01-01,7732.0,73.208
Albania,1997-01-01,7751.5,72.838
Albania,1996-01-01,7771.0,72.495
Albania,1995-01-01,7790.5,72.205
Albania,1994-01-01,7810.0,71.992
Albania,1993-01-01,7829.5,71.86
Albania,1992-01-01,7849.0,71.802
Albania,1991-01-01,7868.5,71.803
Albania,1990-01-01,7888.0,71.836
Albania,1989-01-01,,71.86
Albania,1988-01-01,,71.843
Albania,1987-01-01,,71.76
